{'amount_waiting': '4', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '0', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '1', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '0', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '1', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '3', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'amount_waiting': '1', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> idle
{'amount_waiting': '1', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '0', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '10', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '9', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '1', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '10', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '9', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '6', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '5', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '7', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '9', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'amount_waiting': '8', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '3', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '6', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '9', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'amount_waiting': '10', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '7', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '7', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '4', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'amount_waiting': '2', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '0', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '9', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '5', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '5', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '10', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '6', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '8', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> give_order_list
{'amount_waiting': '6', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '10', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '0', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '7', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '2', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '3', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '4', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'amount_waiting': '1', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '8', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'amount_waiting': '7', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'amount_waiting': '2', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'amount_waiting': '0', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_order
