{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> idle
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> give_order_list
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_order
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> idle
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'no', 'has_carrying_food': 'yes', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'no', 'has_pending_orders': 'yes', 'order_list_sent': 'yes', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> take_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> idle
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'no', 'any_client_wants_order': 'yes', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'no'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'no', 'cook_has_pending_orders': 'yes'} -> deliver_food
{'all_waiting': 'no', 'cook_has_available_food': 'yes', 'has_carrying_food': 'yes', 'has_pending_orders': 'no', 'order_list_sent': 'yes', 'any_client_wants_order': 'no', 'any_client_waiting_for_food': 'yes', 'cook_has_pending_orders': 'no'} -> deliver_food
